"","ISO3","occurrence","RunNo","PredValue"
"641","LCA",0,"257",0.0523269212453249
"642","MAR",0,"257",0.244044344096531
"643","MOZ",1,"257",0.58375211367159
"644","MYS",0,"257",0.663237318755273
"645","MYS",0,"257",0.654805808648877
"646","PAK",1,"257",0.191696794755451
"647","PAK",1,"257",0.166040671895528
"648","PNG",1,"257",0.918787234859312
"649","TGO",0,"257",0.0656845134798765
"650","VCT",0,"257",0.0870447615804639
"651","ARE",1,"268",0.372374391219228
"652","BRB",0,"268",0.053623120304709
"653","CIV",0,"268",0.240810508321417
"654","CIV",0,"268",0.11314608694059
"655","CMR",0,"268",0.354433877417703
"656","GHA",0,"268",0.259907519128965
"657","GIN",0,"268",0.111417852631098
"658","GNQ",0,"268",0.0986531437267595
"659","GRD",0,"268",0.0475570477017883
"660","GRD",0,"268",0.0487564015748136
"661","GUY",1,"268",0.243285262918408
"662","HND",1,"268",0.899284589910926
"663","IDN",1,"268",0.639116131404527
"664","IDN",1,"268",0.662564543617051
"665","IND",1,"268",0.544914563908595
"666","LCA",0,"268",0.0492265669631322
"667","MAR",0,"268",0.23881281070792
"668","MOZ",1,"268",0.571531534582177
"669","MYS",0,"268",0.600309756058424
"670","MYS",0,"268",0.579532622556841
"671","PAK",1,"268",0.157090838321436
"672","PAK",1,"268",0.150003291781223
"673","PNG",1,"268",0.916823241398574
"674","TGO",0,"268",0.0627938632358306
"675","VCT",0,"268",0.0736455597280596
"676","ARE",1,"278",0.371825724213395
"677","BRB",0,"278",0.0497308036414922
"678","CIV",0,"278",0.183543025854095
"679","CIV",0,"278",0.0864557011079682
"680","CMR",0,"278",0.276106076482934
"681","GHA",0,"278",0.275827511371786
"682","GIN",0,"278",0.100823925214
"683","GNQ",0,"278",0.0842210503843329
