"ISO3","occurrence","logtotalGearTonnes","logPprodMean","logCoastPop","logEstDis","logProteinDiet","logGDP","HDI","logMang","WGI","logChondCatch","logShelfAreaShallow","SstMean","logFishEffort","speciesdwarf","speciesgreen","specieslarge","speciesnarrow","speciessmall"
"MOZ",0,14.8852830012481,0.0142788483002222,16.2743674225363,6.16751649088834,0.458260418558693,9.30709133154052,0.418,7.46040311099981,-0.813895722166667,9.47178113322274,11.002502739863,26.5,1.57334829228903,0,1,0,0,0
"PHL",0,16.6911594456693,0.00663901488882062,18.2545030233518,4.95827877804721,1.77900552639049,12.6277601560417,0.682,6.46386505513712,-0.350161424666667,11.132952649623,11.8314322499541,26,5.1342778244912,0,1,0,0,0
"ZAF",0,16.1843199109887,0.0320386859516009,16.7254633499792,2.47190583761075,0.836879899996753,12.5962792322367,0.666,5.13875908471043,0.186530700333333,10.5821046813117,10.0065541326345,21,2.45469853422408,0,1,0,0,0
"THA",0,17.7113535462764,0.00560745976976474,17.0936058955924,5.73285572214191,1.50796918500391,12.9166351206798,0.74,6.43257495824003,-0.319611497,12.0283445227464,12.0615413598719,27.5,4.05546512416118,0,1,0,0,0
"AUS",1,15.9836966345266,0.00730985380049165,16.6905831560481,4.16098916879848,1.142719447161,14.0016725973219,0.939,7.36190026581344,1.544866234,11.6234108261453,12.5517226869604,27.5,2.81227160668197,1,0,0,0,0
"PNG",1,13.1563313185876,0.0162600745652291,15.1594862321617,7.58975724843708,0,9.91414110142006,0.516,7.16434117153772,-0.544137763666667,7.99328232810159,11.0352205602428,29,2.69589456856295,1,0,0,0,0
"IND",0,17.9542098472425,0.0147097442810369,19.3978242466738,5.9621479855238,0.429758806966011,14.632552503898,0.624,6.69101883251502,-0.186531864166667,13.78727053575,10.021652267788,26,5.95353819590673,1,0,0,0,0
"IDN",0,18.5599547239331,0.00996615548043326,19.1693750044619,6.84293349933986,1.29954881500337,13.7453672177991,0.689,8.50712546813885,-0.181098689833333,14.2914061703367,12.9417326357365,28,6.44282528015554,1,0,0,0,0
"MYS",0,17.459787849398,0.00867477510346231,17.028565997203,5.93759709220786,1.99901648890915,12.5999270427836,0.789,7.24813974712176,0.312080825333333,12.6644053082278,10.8335201888481,27,6.66051112730373,1,0,0,0,0
"BHS",1,7.38704991115569,0.000735314589952145,12.6872201999426,0,1.36027480721141,9.32926053863176,0.792,5.67813907042334,0.697046923166667,1.09861228866811,11.1353247714781,25.5,2.84417522189897,0,0,0,0,1
"BLZ",1,11.915996710131,0.00180942500278426,12.5355130739789,3.79352096134715,0.811014070142837,7.46284656104611,0.706,4.86447976349249,-0.261449741166667,8.89836560695536,9.17086823036942,27.5,0.812208031940598,0,0,0,0,1
"CUB",1,13.6254971765909,0.000797842638900053,16.2282501968678,2.15722896084828,1.03019202948776,11.3752001472664,0.775,7.40633960485285,-0.472210845666667,10.368981026304,10.5422998258483,26,2.05524736254318,0,0,0,0,1
"HND",1,13.0334783376093,0.00132525146622577,15.5001427665742,4.80032570076213,0.267431231515326,9.97664228478674,0.625,4.93451722571873,-0.639568299166667,0,10.7133207910702,27.5,3.75202397523866,0,0,0,0,1
"MEX",1,17.9382728959526,0.00782466629750786,17.2504495351765,4.93489650570483,0.773335015582985,13.8613666123166,0.762,7.34172295987319,-0.2820138895,13.1746654627911,12.1037250747254,24.5,5.88946206216233,0,0,0,0,1
"NIC",1,14.1018479005244,0.0168143275570613,15.1161767668162,5.27967466627633,0.290907995637399,9.49038132529194,0.645,5.09558357803888,-0.582684382833333,8.49146504284351,10.874866907388,27.5,2.51425382894192,0,0,0,0,1
"SLE",1,15.2761319935488,0.0113947900897389,14.9461798203419,5.58724865840025,1.38201635556452,8.22619629767657,0.42,5.85893713575413,-0.669856553333333,10.6791819940636,9.55322637776464,28,1.13704454479087,0,0,0,0,1
